source	target
19485	87159	pp
-7858	-173739	pp
186631	-58421	pp
-19485	87159	pp
-41865	-174759	pp
87675	-174759	pp
-58421	-124191	pp
-58421	-124187	pp
58421	-186631	pp
58421	186631	pp
-66628	124187	pp
-66628	124191	pp
173739	7858	pp
173739	163611	pp
124191	58421	pp
87159	-79029	pp
87159	-77275	pp
41865	173739	pp
-79029	-66628	pp
87667	-66628	pp
-87159	-19485	pp
-87159	19485	pp
-87667	174759	pp
-87675	174759	pp
79029	-87159	pp
66628	79029	pp
66628	-87667	pp
-124187	66628	pp
-124191	66628	pp
7858	173739	pp
-163611	-173739	pp
124187	58421	pp
-173739	-41865	pp
-173739	-7858	pp
-174759	87667	pp
-174759	87675	pp
174759	41865	pp
174759	-87675	pp
77275	-87159	pp
-186631	-58421	pp
